#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
17,Unity,San Francisco Bay Area,USA,North America,265,45258,4,6625,6360,Other,Post-IPO,$1300,2023,37.77493,-122.41942
18,Dataminr,New York City,USA,North America,150,45258,20,750,600,AI,Series F,$1100,2023,40.71427,-74.00597
19,Our Next Energy,Detroit,USA,North America,128,45257,25,512,384,Transportation,Series B,$390,2023,42.33143,-83.04575
20,Physics Wallah,Noida,India,Asia,120,45249,1,12000,11880,Education,Series A,$100,2023,8.49615,77.53601
21,TripAdvisor,Boston,USA,North America,125,45242,4,3125,3000,Travel,Post-IPO,$3,2023,42.35843,-71.05977
22,Viasat,San Diego,USA,North America,800,45232,10,8000,7200,Other,Post-IPO,$366,2023,32.71571,-117.16472
23,Beyond Meat,Los Angeles,USA,North America,65,45232,8,813,748,Food,Post-IPO,$122,2023,34.05223,-118.24368
24,Splunk,San Francisco Bay Area,USA,North America,500,45231,7,7143,6643,Data,Post-IPO,$2400,2023,37.77493,-122.41942
25,Faire,San Francisco Bay Area,USA,North America,250,45231,20,1250,1000,Retail,Series G,$1700,2023,37.77493,-122.41942
26,Sana Benefits,Austin,USA,North America,73,45231,50,146,73,HR,Series B,$106,2023,30.26715,-97.74306
27,Hippo Insurance,San Francisco Bay Area,USA,North America,120,45225,20,600,480,Finance,Post-IPO,$1300,2023,37.44188,-122.14302
28,SiFive,San Francisco Bay Area,USA,North America,130,45223,20,650,520,Hardware,Series F,$365,2023,37.35411,-121.95524
29,Nomad Health,New York City,USA,North America,119,45219,17,700,581,Healthcare,Unknown,$218,2023,40.71427,-74.00597
30,Convoy,Seattle,USA,North America,500,45218,100,500,0,Logistics,Series E,$1100,2023,47.60621,-122.33207
31,Bullhorn,Boston,USA,North America,140,45218,9,1556,1416,Sales,Acquired,$32,2023,42.35843,-71.05977
32,StellarAlgo,Calgary,Canada,North America,21,45218,28,75,54,Data,Series A,$16,2023,51.05011,-114.08529
33,ManoMano,Paris,France,Europe,230,45217,25,920,690,Retail,Series F,$705,2023,48.85341,2.3488
34,WeTranSan Franciscoer,Amsterdam,Netherlands,Europe,35,45217,10,350,315,Other,Series A,$64,2023,52.37403,4.88969
35,LinkedIn,San Francisco Bay Area,USA,North America,660,45215,3,22000,21340,Recruiting,Acquired,$154,2023,37.36883,-122.03635
36,C2FO,Kansas City,USA,North America,80,45215,3,2667,2587,Finance,Series H,$537,2023,39.09973,-94.57857
37,Lending Club,San Francisco Bay Area,USA,North America,172,45211,14,1229,1057,Finance,Post-IPO,$392,2023,37.77493,-122.41942
38,MariaDB,San Francisco Bay Area,USA,North America,84,45211,28,300,216,Data,Post-IPO,$272,2023,37.48522,-122.23635
39,Deepgram,San Francisco Bay Area,USA,North America,20,45210,20,100,80,AI,Series B,$86,2023,37.77493,-122.41942
40,Carbon Health,San Francisco Bay Area,USA,North America,114,45208,5,2280,2166,Healthcare,Series D,$522,2023,37.77493,-122.41942
41,InvestCloud,Los Angeles,USA,North America,80,45205,5,1600,1520,Finance,Private Equity ?,$54,2023,34.05223,-118.24368
42,SchoolMint,San Francisco Bay Area,USA,North America,29,45204,14,207,178,Education,Acquired,$8,2023,37.77493,-122.41942
43,Arrival,London,United Kingdom,Europe,200,45204,25,800,600,Transportation,Post-IPO,$629,2023,51.50853,-0.12574
44,Qualtrics,Salt Lake City,USA,North America,780,45203,14,5571,4791,Other,Post-IPO,$400,2023,40.76078,-111.89105
45,Hopper,Montreal,Canada,North America,250,45203,30,833,583,Travel,Unknown,$730,2023,45.50884,-73.58781
46,Chainalysis,New York City,USA,North America,150,45201,15,1000,850,Crypto,Series F,$536,2023,40.71427,-74.00597
47,Synapse,San Francisco Bay Area,USA,North America,86,45201,40,215,129,Finance,Series B,$50,2023,37.77493,-122.41942
48,Chia Network,San Francisco Bay Area,USA,North America,26,45201,37,70,44,Crypto,Series D,$70,2023,37.77493,-122.41942
49,Cowbell,San Francisco Bay Area,USA,North America,28,45198,12,233,205,Finance,Series B,$123,2023,37.66243,-121.87468
50,Epic Games,Raleigh,USA,North America,870,45197,16,5438,4568,Consumer,Unknown,6400,2023,35.7721,-78.63861
51,Fi.Money,Bengaluru,India,Asia,30,45196,10,300,270,Finance,Series C,$137,2023,12.97194,77.59369
52,Dunzo,Bengaluru,India,Asia,150,45195,30,500,350,Food,Unknown,$458,2023,12.97194,77.59369
53,Flexe,Seattle,USA,North America,131,45195,33,397,266,Logistics,Series D,$263,2023,47.60621,-122.33207
54,Lucid Software,Salt Lake City,USA,North America,75,45194,7,1071,996,Other,Series E,$170,2023,40.76078,-111.89105
55,7shifts,Saskatoon,Canada,North America,30,45184,7,429,399,Food,Series C,$131,2023,52.13238,-106.66892
56,Airtable,San Francisco Bay Area,USA,North America,237,45183,27,878,641,Product,Series F,$1400,2023,37.77493,-122.41942
57,VideoAmp,Los Angeles,USA,North America,40,45183,10,400,360,Marketing,Series F,$456,2023,34.05223,-118.24368
58,Evolve,Denver,USA,North America,175,45181,20,875,700,Travel,Series F,$224,2023,39.73915,-104.9847
59,Paper,Montreal,Canada,North America,87,45181,3,2900,2813,Education,Series D,$389,2023,45.50884,-73.58781
60,Homeday,Berlin,Germany,Europe,40,45181,20,200,160,Real Estate,Unknown,$71,2023,52.52437,13.41053
61,At-Bay,San Francisco Bay Area,USA,North America,27,45181,9,300,273,Security,Unknown,$296,2023,37.77493,-122.41942
62,Chargebee,San Francisco Bay Area,USA,North America,100,45180,10,1000,900,Finance,Series H,$468,2023,37.77493,-122.41942
63,Grabango,San Francisco Bay Area,USA,North America,34,45180,40,85,51,Food,Unknown,$94,2023,37.87159,-122.27275
64,Drift,Boston,USA,North America,100,45176,25,400,300,Marketing,Acquired,$107,2023,42.35843,-71.05977
65,Roku,San Francisco Bay Area,USA,North America,360,45175,10,3600,3240,Media,Post-IPO,$208,2023,37.33939,-121.89496
66,Absci,Portland,USA,North America,30,45174,15,200,170,Healthcare,Post-IPO,$238,2023,45.52345,-122.67621
67,Hodinkee,New York City,USA,North America,24,45174,20,120,96,Retail,Seed,$40,2023,40.71427,-74.00597
68,Nexar,New York City,USA,North America,17,45173,14,121,104,Transportation,Series D,$149,2023,40.71427,-74.00597
69,Omuni,Bengaluru,India,Asia,60,45168,35,171,111,Retail,Acquired,$10,2023,12.97194,77.59369
70,Kenko Health,Mumbai,India,Asia,50,45168,20,250,200,Healthcare,Series A,$14,2023,19.07283,72.88261
71,Huma,London,United Kingdom,Europe,45,45168,10,450,405,Healthcare,Unknown,$217,2023,51.50853,-0.12574
72,Zeplin,San Francisco Bay Area,USA,North America,37,45168,35,106,69,Product,Seed,$1,2023,37.77493,-122.41942
73,Kenko Health,Mumbai,India,Asia,50,45167,20,250,200,Healthcare,Unknown,$14,2023,19.07283,72.88261
74,Zebra Technologies,Chicago,USA,North America,700,45166,7,10000,9300,Manufacturing,Post-IPO,2000,2023,41.85003,-87.65005
75,Captiv8,San Francisco Bay Area,USA,North America,8,45162,3,267,259,Marketing,Unknown,$4,2023,37.56299,-122.32553
76,Atlas,Chicago,USA,North America,150,45161,30,500,350,HR,Series B,$220,2023,41.85003,-87.65005
77,Veriff,Tallinn,Estonia,Europe,101,45161,21,481,380,Security,Series C,$192,2023,59.43696,24.75353
78,BlackLine,Los Angeles,USA,North America,95,45161,5,1900,1805,Finance,Post-IPO,$220,2023,34.05223,-118.24368
79,Getir,London,United Kingdom,Europe,2500,45160,11,22727,20227,Food,Series E,$1800,2023,51.50853,-0.12574
80,Twiga,Nairobi,Kenya,Africa,283,45158,33,858,575,Food,Series C,$157,2023,-1.28333,36.81667
81,AppFolio,Santa Barbara,USA,North America,149,45155,9,1656,1507,Real Estate,Post-IPO,$30,2023,34.42083,-119.69819
82,StreamElements,Tel Aviv,Israel,Asia,60,45155,35,171,111,Media,Series B,$111,2023,32.08088,34.78057
83,SecureWorks,Atlanta,USA,North America,300,45152,15,2000,1700,Security,Post-IPO,$83,2023,33.749,-84.38798
84,Blend,San Francisco Bay Area,USA,North America,150,45147,19,789,639,Finance,Post-IPO,$665,2023,37.77493,-122.41942
85,Dealtale,Tel Aviv,Israel,Asia,70,45147,100,70,0,Sales,Acquired,$2,2023,32.08088,34.78057
86,Thoughtworks,Chicago,USA,North America,579,45146,5,11580,11001,Other,Post-IPO,$748,2023,41.85003,-87.65005
87,Rapid7,Boston,USA,North America,470,45146,18,2611,2141,Security,Post-IPO,$89,2023,42.35843,-71.05977
88,Doximity,San Francisco Bay Area,USA,North America,100,45146,10,1000,900,Healthcare,Post-IPO,$82,2023,37.77493,-122.41942
89,23andMe,San Francisco Bay Area,USA,North America,71,45146,11,645,574,Healthcare,Post-IPO,$1100,2023,37.77493,-122.41942
90,Top Hat,Toronto,Canada,North America,42,45142,7,600,558,Education,Series E,$234,2023,43.70643,-79.39864
91,Discord,San Francisco Bay Area,USA,North America,37,45141,4,925,888,Consumer,Series H,$995,2023,37.77493,-122.41942
92,Spinny,Gurugram,India,Asia,300,45140,5,6000,5700,Transportation,Series E,$513,2023,28.4601,77.02635
93,Tekion,Bengaluru,India,Asia,300,45140,10,3000,2700,Other,Series D,$435,2023,12.97194,77.59369
94,BetterUp,San Francisco Bay Area,USA,North America,100,45140,16,625,525,HR,Series E,$567,2023,37.77493,-122.41942
95,Augury,New York City,USA,North America,70,45140,18,389,319,Manufacturing,Series E,$274,2023,40.71427,-74.00597
96,Gupy,Sao Paulo,Brazil,South America,58,45140,8,725,667,HR,Series B,$105,2023,-23.5475,-46.63611
97,Vesttoo,Tel Aviv,Israel,Asia,150,45139,75,200,50,Finance,Series C,$110,2023,32.08088,34.78057
98,Planet,San Francisco Bay Area,USA,North America,117,45139,10,1170,1053,Aerospace,Post-IPO,$574,2023,37.77493,-122.41942
99,Paper,Montreal,Canada,North America,106,45139,4,2650,2544,Education,Series D,$389,2023,45.50884,-73.58781
100,Archipelago,San Francisco Bay Area,USA,North America,40,45139,30,133,93,Real Estate,Series B,$57,2023,37.77493,-122.41942
101,Fable,Toronto,Canada,North America,13,45138,9,144,131,Other,Series A,$12,2023,43.70643,-79.39864
102,Kape Technologies,London,United Kingdom,Europe,200,45137,30,667,467,Security,Post-IPO,$188,2023,51.50853,-0.12574
103,Eroad,Auckland,New Zealand,Australia,200,45135,31,645,445,Transportation,Unknown,$46,2023,-36.84853,174.76349
104,Milkbasket,Gurugram,India,Asia,400,45134,67,597,197,Food,Acquired,$39,2023,28.4601,77.02635
105,Wish,San Francisco Bay Area,USA,North America,255,45134,34,750,495,Retail,Post-IPO,$1600,2023,37.77493,-122.41942
106,Point,San Francisco Bay Area,USA,North America,61,45134,28,218,157,Real Estate,Series C,$149,2023,37.77493,-122.41942
107,Verbit,New York City,USA,North America,60,45134,6,1000,940,Data,Series E,$569,2023,40.71427,-74.00597
108,Copia,Nairobi,Kenya,Africa,350,45133,25,1400,1050,Retail,Series C,$103,2023,-1.28333,36.81667
109,Figure,San Francisco Bay Area,USA,North America,90,45133,20,450,360,Crypto,Unknown,$1500,2023,37.77493,-122.41942
110,Calendly,Atlanta,USA,North America,60,45133,10,600,540,Other,Series B,$351,2023,33.749,-84.38798
111,Deep Instict,New York City,USA,North America,46,45132,15,307,261,Security,Unknown,$322,2023,40.71427,-74.00597
112,AgentSync,Denver,USA,North America,67,45126,24,279,212,Finance,Series B,$111,2023,39.73915,-104.9847
113,Inspirato,Denver,USA,North America,50,45126,6,833,783,Travel,Post-IPO,$179,2023,39.73915,-104.9847
114,Tilia,San Francisco Bay Area,USA,North America,28,45126,32,88,60,Finance,Unknown,$32,2023,37.77493,-122.41942
115,Sarcos,Salt Lake City,USA,North America,75,45124,25,300,225,Aerospace,Post-IPO,$316,2023,40.76078,-111.89105
116,PayScale,Seattle,USA,North America,14,45121,2,700,686,HR,Acquired,$33,2023,47.60621,-122.33207
117,AudioCodes,Tel Aviv,Israel,Asia,80,45120,6,1333,1253,Other,Post-IPO,$91,2023,32.08088,34.78057
118,Deepwatch,Tampa Bay,USA,North America,30,45120,7,429,399,Security,Series C,$256,2023,27.94752,-82.45843
119,DeepVerge,Dublin,Ireland,Europe,50,45119,100,50,0,Healthcare,Post-IPO,$20,2023,53.33306,-6.24889
120,Freightos,Miami,USA,North America,50,45119,13,385,335,Logistics,Post-IPO,$118,2023,25.77427,-80.19366
121,WayCool,Chennai,India,Asia,300,45118,12,2500,2200,Food,Unknown,$363,2023,13.08784,80.27847
122,Matterport,San Francisco Bay Area,USA,North America,170,45118,30,567,397,Data,Post-IPO,$409,2023,37.36883,-122.03635
123,Sisense,New York City,USA,North America,100,45118,15,667,567,Data,Series F,$274,2023,40.71427,-74.00597
124,FrontRow,Bengaluru,India,Asia,4,45117,100,4,0,Education,Series A,$17,2023,12.97194,77.59369
125,FNZ,London,United Kingdom,Europe,1000,45113,15,6667,5667,Finance,Private Equity ?,1400,2023,51.50853,-0.12574
126,Perfect Day,San Francisco Bay Area,USA,North America,134,45113,15,893,759,Food,Series D,$711,2023,37.87159,-122.27275
127,TytoCare,New York City,USA,North America,20,45113,10,200,180,Healthcare,Series D,$156,2023,40.71427,-74.00597
128,Highsnobiety,Berlin,Germany,Europe,24,45110,10,240,216,Media,Acquired,$8,2023,52.52437,13.41053
129,Zip,Sydney,Australia,Australia,300,45109,20,1500,1200,Finance,Post-IPO,$896,2023,-33.86785,151.20732
130,Headspace,Los Angeles,USA,North America,181,45106,15,1207,1026,Healthcare,Unknown,$216,2023,34.05223,-118.24368
131,Artsy,New York City,USA,North America,35,45106,15,233,198,Retail,Series D,$100,2023,40.71427,-74.00597
132,Torii,Ra'anana,Israel,Asia,28,45106,30,93,65,Other,Series B,$65,2023,32.1836,34.87386
133,ClickUp,San Diego,USA,North America,90,45105,10,900,810,Other,Series C,$537,2023,32.71571,-117.16472
134,Plex,San Francisco Bay Area,USA,North America,37,45105,20,185,148,Media,Unknown,$81,2023,37.38605,-122.08385
135,New Relic,San Francisco Bay Area,USA,North America,255,45104,10,2550,2295,Infrastructure,Post-IPO,$214,2023,37.77493,-122.41942
136,Robinhood,San Francisco Bay Area,USA,North America,150,45103,7,2143,1993,Finance,Post-IPO,$5600,2023,37.45383,-122.18219
137,Convoy,Seattle,USA,North America,30,45103,5,600,570,Logistics,Series E,$1100,2023,47.60621,-122.33207
138,Uber,San Francisco Bay Area,USA,North America,200,45098,0.996164766,20077,19877,Transportation,Post-IPO,$25200,2023,37.77493,-122.41942
139,Ritual,Toronto,Canada,North America,38,45098,40,95,57,Food,Series C,$134,2023,43.70643,-79.39864
140,Grab,Singapore,Singapore,Asia,1000,45097,11,9091,8091,Transportation,Post-IPO,$16500,2023,1.28967,103.85007
141,Chingari,Bengaluru,India,Asia,48,45096,20,240,192,Media,Unknown,$88,2023,12.97194,77.59369
142,Mojocare,Bengaluru,India,Asia,170,45094,80,213,43,Healthcare,Series A,$24,2023,12.97194,77.59369
143,Pilot,San Francisco Bay Area,USA,North America,45,45093,13,346,301,Finance,Unknown,$116,2023,37.77493,-122.41942
144,CareRev,Los Angeles,USA,North America,100,45092,33,303,203,Healthcare,Series A,$51,2023,34.05223,-118.24368
145,FrontRow,Bengaluru,India,Asia,39,45092,90,43,4,Education,Series A,$17,2023,12.97194,77.59369
146,Bitwise,Fresno,USA,North America,900,45091,100,900,0,Crypto,Series B,$84,2023,36.74773,-119.77237
147,Sonos,New York City,USA,North America,130,45091,7,1857,1727,Consumer,Post-IPO,$455,2023,40.71427,-74.00597
148,TrueCar,Los Angeles,USA,North America,102,45091,24,425,323,Transportation,Post-IPO,$340,2023,34.05223,-118.24368
149,Olo,New York City,USA,North America,81,45091,11,736,655,Food,Post-IPO,$184,2023,40.71427,-74.00597
150,Grubhub,San Francisco Bay Area,USA,North America,400,45089,15,2667,2267,Food,Acquired,$284,2023,37.77493,-122.41942
151,GoCardless,London,United Kingdom,Europe,150,45089,17,882,732,Finance,Series G,$529,2023,51.50853,-0.12574
152,Pendo,Raleigh,USA,North America,100,45089,12,833,733,Product,Series F,$469,2023,35.7721,-78.63861
153,Chegg,San Francisco Bay Area,USA,North America,80,45089,4,2000,1920,Education,Post-IPO,$227,2023,37.35411,-121.95524
154,TaxBit,San Francisco Bay Area,USA,North America,80,45088,40,200,120,Crypto,Unknown,$253,2023,37.77493,-122.41942
155,Trybe,Sao Paulo,Brazil,South America,128,45086,35,366,238,Education,Series B,$40,2023,-23.5475,-46.63611
156,23andMe,San Francisco Bay Area,USA,North America,75,45086,9,833,758,Healthcare,Post-IPO,$1100,2023,37.77493,-122.41942
157,Expel,Washington DC,USA,North America,60,45086,10,600,540,Security,Series E,$288,2023,38.89511,-77.03637
158,Cityblock Health,New York City,USA,North America,155,45085,12,1292,1137,Healthcare,Series D,$891,2023,40.71427,-74.00597
159,Highspot,Seattle,USA,North America,140,45085,15,933,793,Sales,Series F,$644,2023,47.60621,-122.33207
160,Edgio,Phoenix,USA,North America,134,45083,12,1117,983,Infrastructure,Post-IPO,$462,2023,33.44838,-112.07404
161,Reddit,San Francisco Bay Area,USA,North America,90,45083,5,1800,1710,Consumer,Series F,$1300,2023,37.77493,-122.41942
162,Linktree,Melbourne,Australia,Australia,60,45083,27,222,162,Consumer,Unknown,$165,2023,-37.814,144.96332
163,Dragos,Baltimore,USA,North America,50,45083,9,556,506,Security,Series D,$364,2023,39.29038,-76.61219
164,Spotify,Stockholm,Sweden,Europe,200,45082,2,9400,9200,Media,Post-IPO,$2100,2023,59.32938,18.06871
165,ZoomInfo,Vancouver,Canada,North America,120,45079,3,4000,3880,Sales,Post-IPO,$7,2023,49.24966,-123.11934
166,Outbrain,New York City,USA,North America,90,45078,10,900,810,Marketing,Post-IPO,$394,2023,40.71427,-74.00597
167,Zendesk,San Francisco Bay Area,USA,North America,320,45077,8,4000,3680,Support,Acquired,$85,2023,37.77493,-122.41942
168,ZipRecruiter,Los Angeles,USA,North America,270,45077,20,1350,1080,Recruiting,Post-IPO,$769,2023,34.05223,-118.24368
169,Vendr,Boston,USA,North America,100,45077,25,400,300,Other,Series B,$216,2023,42.35843,-71.05977
170,Mux,San Francisco Bay Area,USA,North America,40,45077,30,133,93,Infrastructure,Series D,$173,2023,37.77493,-122.41942
171,Away,New York City,USA,North America,22,45077,8,275,253,Retail,Series D,$181,2023,40.71427,-74.00597
172,Taxfix,Berlin,Germany,Europe,120,45076,20,600,480,Finance,Series D,$330,2023,52.52437,13.41053
173,Evolve,Denver,USA,North America,164,45075,14,1171,1007,Travel,Series F,$224,2023,39.73915,-104.9847
174,Project44,Chicago,USA,North America,130,45072,10,1300,1170,Logistics,Unknown,$817,2023,41.85003,-87.65005
175,Airmeet,Bengaluru,India,Asia,75,45071,30,250,175,Marketing,Series B,$50,2023,12.97194,77.59369
176,Guild,Denver,USA,North America,172,45070,12,1433,1261,Education,Series F,$643,2023,39.73915,-104.9847
177,Flink,Berlin,Germany,Europe,100,45070,16,625,525,Food,Series B,$1000,2023,52.52437,13.41053
178,Western Digital,Kfar Saba,Israel,Asia,60,45070,7,857,797,Hardware,Post-IPO,$900,2023,32.175,34.90694
179,Pie Insurance,Washington DC,USA,North America,63,45064,14,450,387,Finance,Series D,$621,2023,38.89511,-77.03637
180,Stash,New York City,USA,North America,40,45063,10,400,360,Finance,Unknown,$480,2023,40.71427,-74.00597
181,Zepz,London,United Kingdom,Europe,420,45062,26,1615,1195,Finance,Series E,$700,2023,51.50853,-0.12574
182,Lemonade,New York City,USA,North America,45,45062,3,1500,1455,Finance,Post-IPO,$481,2023,40.71427,-74.00597
183,Nuro,San Francisco Bay Area,USA,North America,340,45058,30,1133,793,Transportation,Series D,$2100,2023,37.38605,-122.08385
184,Happay,Bengaluru,India,Asia,160,45058,35,457,297,Finance,Acquired,$21,2023,12.97194,77.59369
185,Cornershop,Santiago,Chile,South America,250,45057,11,2273,2023,Food,Acquired,$31,2023,-33.45694,-70.64827
186,Redbubble,Melbourne,Australia,Australia,70,45056,23,304,234,Retail,Post-IPO,$55,2023,-37.814,144.96332
187,Similarweb,New York City,USA,North America,60,45056,6,1000,940,Other,Post-IPO,$235,2023,40.71427,-74.00597
188,Stack Overflow,New York City,USA,North America,58,45056,10,580,522,Recruiting,Acquired,$153,2023,40.71427,-74.00597
189,Akamai,Boston,USA,North America,290,45055,3,9667,9377,Security,Post-IPO,$35,2023,42.35843,-71.05977
190,Sonatype,Baltimore,USA,North America,100,45055,14,714,614,Security,Acquired,$154,2023,39.29038,-76.61219
191,AudioCodes,Tel Aviv,Israel,Asia,80,45055,6,1333,1253,Other,Post-IPO,$91,2023,32.08088,34.78057
192,LinkedIn,San Francisco Bay Area,USA,North America,716,45054,4,17900,17184,Recruiting,Acquired,$154,2023,37.36883,-122.03635
