#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
1349,Thumbtack,San Francisco Bay Area,USA,North America,250,43920,30,833,583,Consumer,Series F,$423,2020,37.77493,-122.41942
1350,RigUp,Austin,USA,North America,120,43920,25,480,360,Energy,Series D,$423,2020,30.26715,-97.74306
1351,FabHotels,New Delhi,India,Asia,80,43920,20,400,320,Travel,Series B,$48,2020,28.65195,77.23149
1352,Hibob,Tel Aviv,Israel,Asia,70,43920,30,233,163,HR,Series A,$45,2020,32.08088,34.78057
1353,PeerStreet,Los Angeles,USA,North America,51,43920,30,170,119,Finance,Series C,$110,2020,34.05223,-118.24368
1354,Maven,Seattle,USA,North America,31,43920,9,344,313,Media,Post-IPO,$77,2020,47.60621,-122.33207
1355,Loftsmart,New York City,USA,North America,25,43920,75,33,8,Real Estate,Series A,$18,2020,40.71427,-74.00597
1356,Iris Nova,New York City,USA,North America,9,43920,50,18,9,Food,Seed,$15,2020,40.71427,-74.00597
1357,ZipRecruiter,Los Angeles,USA,North America,400,43919,39,1026,626,Recruiting,Series B,$219,2020,34.05223,-118.24368
1358,Amplero,Seattle,USA,North America,17,43919,100,17,0,Marketing,Series B,$25,2020,47.60621,-122.33207
1359,TravelTriangle,Gurugram,India,Asia,250,43918,50,500,250,Travel,Series D,$47,2020,28.4601,77.02635
1360,OneWeb,London,United Kingdom,Europe,451,43917,85,531,80,Aerospace,Unknown,3000,2020,51.50853,-0.12574
1361,Bird,Los Angeles,USA,North America,406,43917,30,1353,947,Transportation,Series D,$623,2020,34.05223,-118.24368
1362,HOOQ,Singapore,Singapore,Asia,250,43917,100,250,0,Consumer,Unknown,$95,2020,1.28967,103.85007
1363,DataRobot,Boston,USA,North America,200,43917,16.66666667,1200,1000,Data,Series E,$430,2020,42.35843,-71.05977
1364,Blueground,New York City,USA,North America,130,43917,25,520,390,Real Estate,Series B,$77,2020,40.71427,-74.00597
1365,Knotel,New York City,USA,North America,127,43917,30,423,296,Real Estate,Series C,$560,2020,40.71427,-74.00597
1366,Getaround,San Francisco Bay Area,USA,North America,100,43917,25,400,300,Transportation,Series D,$403,2020,37.77493,-122.41942
1367,Zipcar,Boston,USA,North America,100,43917,20,500,400,Transportation,Acquired,$107,2020,42.35843,-71.05977
1368,Mogo,Vancouver,Canada,North America,78,43917,30,260,182,Finance,Post-IPO,$201,2020,49.24966,-123.11934
1369,Bench,Vancouver,Canada,North America,47,43917,10,470,423,Finance,Series B,$49,2020,49.24966,-123.11934
